displacement,force
-0.00487,0.12194995
-0.00325,0.14481556
-0.00325,0.14481556
-0.00325,0.13719369
-0.00325,0.14481556
-0.00325,0.14481556
-0.00162,0.14481556
-0.00487,0.14481556
-0.00487,0.12957182
-0.00325,0.14481556
-0.00487,0.14481556
-0.00325,0.14481556
-0.00325,0.14481556
-0.00325,0.14481556
-0.00162,0.14481556
-0.00325,0.13719369
-0.00325,0.15243743
0,0.13719369
-0.00487,0.14481556
-0.00487,0.14481556
-0.00325,0.13719369
-0.00325,0.13719369
-0.00487,0.14481556
-0.00487,0.15243743
-0.00487,0.13719369
-0.00162,0.12957182
-0.00487,0.12957182
-0.00162,0.13719369
-0.00487,0.13719369
-0.00325,0.14481556
-0.00325,0.1600593
-0.00487,0.13719369
-0.00487,0.15243743
-0.00325,0.15243743
-0.00325,0.1600593
-0.00325,0.13719369
-0.00487,0.14481556
-0.00487,0.14481556
-0.00487,0.15243743
-0.00325,0.1600593
-0.0065,0.15243743
-0.00487,0.13719369
-0.00325,0.14481556
-0.00487,0.1600593
-0.00487,0.12957182
-0.00162,0.15243743
-0.00487,0.13719369
-0.00487,0.14481556
-0.00487,0.15243743
-0.00325,0.14481556
-0.00162,0.14481556
-0.00487,0.1600593
-0.0065,0.13719369
-0.00162,0.15243743
-0.00325,0.15243743
-0.00325,0.13719369
-0.00325,0.1600593
-0.00325,0.1600593
-0.00487,0.15243743
-0.00325,0.1600593
-0.00487,0.15243743
-0.00162,0.15243743
-0.00487,0.1600593
-0.00325,0.16768117
-0.00325,0.15243743
-0.0065,0.14481556
-0.00487,0.1600593
-0.00162,0.14481556
-0.00487,0.1600593
-0.00487,0.15243743
-0.00325,0.1600593
-0.00325,0.16768117
-0.00487,0.15243743
-0.00325,0.13719369
-0.00325,0.1600593
-0.00487,0.1600593
-0.0065,0.15243743
-0.00325,0.16768117
0,0.1600593
-0.00325,0.15243743
-0.00162,0.14481556
-0.00325,0.1600593
-0.00325,0.1600593
-0.00325,0.15243743
-0.00162,0.14481556
-0.00162,0.16768117
-0.00325,0.17530305
-0.00487,0.17530305
-0.00162,0.1600593
-0.0065,0.1600593
-0.00325,0.1600593
-0.00325,0.1600593
-0.00325,0.1600593
-0.00325,0.15243743
-0.00325,0.1600593
-0.0065,0.16768117
-0.00325,0.1600593
-0.00325,0.15243743
-0.00325,0.1600593
