0.01524374	0
0.01524374	-0.00162
0.00762187	0
0.00762187	0
0.01524374	0
0.00762187	0
0.00762187	0.00325
0	0
0.01524374	0
0.01524374	0.00162
0	0
0.00762187	0
0.00762187	-0.00162
0.02286561	-0.00162
0	0
0.02286561	0
0.01524374	0
0.00762187	-0.00325
0.01524374	-0.00162
0.01524374	0
0	0.00162
0	-0.00162
0	0
0	-0.00162
0	-0.00162
0.00762187	0.00162
0	0.00162
0.00762187	-0.00162
0	-0.00162
0.00762187	-0.00162
0	-0.00162
0	-0.00162
0	0.00162
0.00762187	0.00162
0.02286561	-0.00162
0.02286561	0
0	0
0.00762187	0.00162
0.00762187	0.00162
0.00762187	0
0.01524374	-0.00325
0.01524374	0
0.00762187	0
0	0
0	0
0	-0.00162
0.01524374	0
0	0
0.01524374	0
0.00762187	0.00162
0	-0.00162
0.00762187	-0.00162
0	0
0.00762187	-0.00162
0.01524374	0
0.00762187	0
0.00762187	0.00162
0.00762187	0.00162
0	-0.00162
0	0
0.01524374	0.00162
0.00762187	0
0.00762187	0.00162
0.01524374	0
0.00762187	-0.00162
0.00762187	0
0.01524374	0
0.00762187	0.00162
0.01524374	-0.00162
0.00762187	0
0.01524374	0
0.00762187	-0.00162
0.00762187	0.00325
0.00762187	0
0.01524374	0.00162
0.01524374	0.00325
0.00762187	0.00162
0	0
0	0
0.01524374	-0.00162
0	0
0.01524374	0
0.01524374	-0.00162
0.03048749	-0.00162
0.01524374	-0.00162
0.01524374	0
0.02286561	0
0.01524374	0
0.01524374	-0.00162
0.00762187	0
0.01524374	0
0.00762187	0
0.02286561	0
0.00762187	-0.00162
0.00762187	0.00162
0.02286561	0
0.02286561	0
0.02286561	0.00162
0.01524374	-0.00162
0.00762187	0
0.01524374	0.00325
0.02286561	0.00325
0.01524374	0.00162
0.00762187	-0.00162
0.02286561	-0.00162
0.02286561	0
0.01524374	-0.00162
0.02286561	0
0.01524374	0
0.01524374	0
0.01524374	-0.00162
0.01524374	0
0.01524374	0.00162
0.03048749	0
0.03048749	0.00162
0.02286561	0
0.01524374	0
0.01524374	0
0.02286561	0
0.03048749	0
0.02286561	-0.00162
0.00762187	0
0.02286561	0
0.02286561	0
0.02286561	0
0.00762187	0.00162
0.02286561	0.00162
0.02286561	-0.00162
0.02286561	0
0.01524374	-0.00162
0.02286561	0
0.03048749	0
0.03048749	0
0.01524374	0
0.02286561	0
0.01524374	-0.00162
0.01524374	0.00162
0.02286561	0
0.01524374	0.00162
0.01524374	0
0.03048749	-0.00162
0.01524374	-0.00162
0.02286561	0
0.02286561	0.00162
0.02286561	0
0.03048749	-0.00162
0.02286561	0
0.03048749	-0.00162
0.02286561	0
0.01524374	0
0.03048749	-0.00162
0.02286561	0
0.02286561	0.00162
0.01524374	-0.00325
0.02286561	0
0.02286561	-0.00162
0	0
0.03048749	-0.00162
0.03048749	0
0.02286561	0
0.01524374	0.00162
0.03048749	0.00162
0.01524374	-0.00162
0.01524374	0
0.00762187	0
0.02286561	0.00162
0.02286561	0
0.02286561	-0.00325
0.01524374	0
0.03048749	0.00325
0.02286561	0
0.02286561	0.00162
0.02286561	0.00162
0.02286561	0
0.02286561	-0.00162
0.03048749	-0.00162
0.01524374	-0.00162
0.02286561	0
0.03048749	0
0.02286561	-0.00325
0.02286561	0.00162
0.02286561	0
0.03048749	0
0.02286561	-0.00162
0.03810936	0.00162
0.01524374	0
0.01524374	0
0.01524374	0.00162
0.02286561	0
0.03048749	0
0.03048749	0
0.01524374	-0.00325
0.03048749	-0.00162
0.03810936	0
0.03048749	0.00162
0.03048749	0
0.02286561	0
0.01524374	-0.00162
0.02286561	0
0.03810936	0
0.02286561	0
0.03048749	-0.00162
0.03048749	0.00162
0.03048749	0.00162
0.02286561	0.00162
0.01524374	0
0.03048749	-0.00162
0.03048749	0.00162
0.01524374	-0.00162
0.01524374	0
0.03810936	0
0.03048749	0
0.01524374	-0.00325
0.03048749	0
0.03048749	0
0.02286561	-0.00162
0.03810936	-0.00162
0.03048749	-0.00162
0.03048749	0
0.03048749	0
0.03810936	0.00325
0.03048749	0.00325
0.02286561	-0.00162
0.01524374	0
0.01524374	0
0.01524374	0.00162
0.03048749	0.00162
0.03048749	0
0.02286561	0
0.02286561	0.00162
0.03048749	0
0.02286561	0.00162
0.03048749	-0.00162
0.04573123	0
0.02286561	0
0.01524374	0
0.03810936	0
0.02286561	0
0.03048749	0.00162
0.02286561	0
0.03048749	-0.00162
0.03048749	0
0.03048749	0
0.02286561	0
0.03048749	0
0.03048749	0
0.01524374	0
0.03048749	0.00162
0.03048749	0
0.03810936	-0.00325
0.03810936	-0.00162
0.03810936	0
0.02286561	0
0.03810936	0.00162
0.03048749	0
0.03048749	0
0.03810936	-0.00162
0.03048749	0.00162
0.02286561	0
0.03048749	-0.00325
0.03048749	0
0.03048749	0
0.02286561	0
0.03048749	0.00162
0.03048749	0
0.03810936	-0.00325
0.03810936	-0.00162
0.02286561	0.00325
0.03048749	0.00162
0.04573123	0
0.03810936	-0.00162
0.04573123	0
0.06097497	0
0.03810936	-0.00162
0.0533531	0
0.03810936	-0.00162
0.04573123	0.00162
0.03810936	-0.00325
0.03810936	0.00162
0.03810936	-0.00162
0.04573123	-0.00162
0.03810936	0
0.04573123	0
0.03810936	0.00162
0.0533531	-0.00162
0.04573123	0
0.03810936	0
0.04573123	0
0.03048749	0
0.04573123	0
0.0533531	-0.00162
0.04573123	-0.00325
0.04573123	0
0.03810936	0
0.04573123	-0.00162
0.0533531	0.00162
0.04573123	0
0.04573123	-0.00325
0.04573123	0
0.04573123	-0.00162
0.04573123	0
0.04573123	-0.00162
0.04573123	0
0.04573123	-0.00162
0.0533531	-0.00325
0.04573123	-0.00162
0.03810936	0
0.0533531	0
0.04573123	0
0.0533531	0.00162
0.0533531	0
0.04573123	0
0.04573123	0.00325
0.0533531	0.00162
0.04573123	-0.00162
0.0533531	-0.00162
0.03810936	-0.00162
0.0533531	0.00162
0.04573123	0
0.04573123	0
0.04573123	-0.00162
0.0533531	0
0.04573123	0
0.04573123	-0.00162
0.06097497	-0.00162
0.0533531	0
0.04573123	-0.00162
0.06097497	0.00325
0.04573123	0
0.06859684	0.00325
0.04573123	-0.00162
0.0533531	0
0.04573123	0
0.06097497	0
0.06097497	-0.00325
0.04573123	-0.00325
0.04573123	-0.00162
0.0533531	-0.00162
0.04573123	0
0.0533531	0
0.03810936	0.00162
0.03810936	0
0.0533531	0
0.04573123	0
0.04573123	0
0.0533531	0
0.04573123	0
0.04573123	0
0.0533531	0
0.04573123	0.00325
0.04573123	0
0.04573123	0
0.03810936	-0.00162
0.0533531	0
0.04573123	0
0.06097497	0.00162
0.04573123	0
0.04573123	0.00162
0.04573123	0.00162
0.04573123	0
0.04573123	0
0.04573123	-0.00162
0.04573123	-0.00162
0.0533531	0
0.0533531	-0.00162
0.04573123	0.00162
0.04573123	0.00162
0.04573123	-0.00162
0.03810936	0.00162
0.0533531	0
0.0533531	0.00162
0.04573123	0
0.04573123	-0.00162
0.0533531	-0.00162
0.03810936	0
0.0533531	-0.00162
0.04573123	0.00162
0.0533531	0.00162
0.0533531	0
0.04573123	-0.00325
0.04573123	0
0.0533531	0.00162
0.03810936	0
0.0533531	0.00162
0.0533531	-0.00162
0.0533531	-0.00162
0.04573123	0.00162
0.0533531	0.00162
0.04573123	-0.00162
0.04573123	0.00325
0.04573123	-0.00162
0.0533531	0
0.04573123	0
0.04573123	0
0.0533531	0.00162
0.04573123	0
0.04573123	0
0.04573123	0
0.04573123	-0.00325
0.04573123	-0.00162
0.0533531	0.00162
0.04573123	0
0.03810936	-0.00162
0.0533531	0.00162
0.0533531	0.00162
0.0533531	0
0.04573123	0.00162
0.04573123	0
0.04573123	-0.00162
0.03810936	0.00162
0.03810936	0
0.04573123	0
0.0533531	0.00162
0.04573123	-0.00325
0.04573123	-0.00162
0.04573123	0
0.0533531	0
0.04573123	0
0.04573123	-0.00325
0.04573123	-0.00162
0.03810936	0.00162
0.0533531	0
0.04573123	-0.00162
0.04573123	0.00162
0.04573123	0.00162
0.04573123	-0.00162
